input_prompt,enhanced_prompt
a robot in volcano,"(robot:1.25) in volcano, Steampunk style, dramatic shadows, muted tones, masterpiece quality, majestic scale"
a queen in mars base,"(queen:1.25) in mars base, Vaporwave style, ray traced, intricate textures, octane render, 8k resolution, ethereal atmosphere"
a angel in mars base,"(angel:1.25) in mars base, Renaissance style, muted tones, soft bokeh, dramatic shadows, 8k resolution, sharp focus"
a queen in frozen tundra,"(queen:1.25) in frozen tundra, Impressionist style, muted tones, vibrant colors, soft bokeh, dramatic shadows"
a warrior in stellar nebula,"(warrior:1.25) in stellar nebula, Dark Fantasy style, 8k resolution, unreal engine 5, masterpiece quality"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Vaporwave style, ethereal atmosphere, hyper detailed, masterpiece quality, ray traced, majestic scale"
a mechanic in deep forest,"(mechanic:1.25) in deep forest, Anime style, volumetric lighting, ray traced, ethereal atmosphere"
a monk in space station,"(monk:1.25) in space station, Photoreal style, ethereal atmosphere, octane render, intricate textures, volumetric lighting, sharp focus"
a wizard in cybernetic lab,"(wizard:1.25) in cybernetic lab, Dark Fantasy style, octane render, masterpiece quality, dramatic shadows, ethereal atmosphere, majestic scale"
a scientist in ancient ruins,"(scientist:1.25) in ancient ruins, Minimalist style, vibrant colors, unreal engine 5, hyper detailed"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Anime style, volumetric lighting, dramatic shadows, vibrant colors, soft bokeh, unreal engine 5"
a forest spirit in stellar nebula,"(forest spirit:1.25) in stellar nebula, Photoreal style, hyper detailed, dramatic shadows, intricate textures, 8k resolution, volumetric lighting"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Anime style, 8k resolution, ethereal atmosphere, hyper detailed, muted tones, volumetric lighting"
a wizard in deep forest,"(wizard:1.25) in deep forest, Vaporwave style, soft bokeh, ethereal atmosphere, volumetric lighting, dramatic shadows"
a angel in desert oasis,"(angel:1.25) in desert oasis, Cinematic style, vibrant colors, masterpiece quality, sharp focus, muted tones, volumetric lighting"
a astronaut in ancient ruins,"(astronaut:1.25) in ancient ruins, Impressionist style, dramatic shadows, soft bokeh, muted tones, intricate textures, sharp focus"
a demon in desert oasis,"(demon:1.25) in desert oasis, Anime style, volumetric lighting, muted tones, masterpiece quality, sharp focus, unreal engine 5"
a mechanic in dreamscape,"(mechanic:1.25) in dreamscape, Cinematic style, majestic scale, ethereal atmosphere, hyper detailed, ray traced, 8k resolution"
a goddess in stellar nebula,"(goddess:1.25) in stellar nebula, Vaporwave style, soft bokeh, octane render, ethereal atmosphere"
a goddess in neon city,"(goddess:1.25) in neon city, Vaporwave style, 8k resolution, volumetric lighting, dramatic shadows, unreal engine 5, hyper detailed"
a old man in stellar nebula,"(old man:1.25) in stellar nebula, Cinematic style, masterpiece quality, octane render, hyper detailed"
a goddess in ancient ruins,"(goddess:1.25) in ancient ruins, Dark Fantasy style, octane render, unreal engine 5, dramatic shadows, hyper detailed, 8k resolution"
a dragon in deep forest,"(dragon:1.25) in deep forest, Impressionist style, masterpiece quality, sharp focus, hyper detailed, volumetric lighting, soft bokeh"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Renaissance style, soft bokeh, 8k resolution, volumetric lighting, dramatic shadows, vibrant colors"
a cyberpunk girl in volcano,"(cyberpunk girl:1.25) in volcano, Renaissance style, 8k resolution, unreal engine 5, dramatic shadows, sharp focus, soft bokeh"
a robot in space station,"(robot:1.25) in space station, Renaissance style, majestic scale, soft bokeh, hyper detailed, intricate textures, ethereal atmosphere"
a astronaut in floating island,"(astronaut:1.25) in floating island, Cinematic style, intricate textures, octane render, ray traced, hyper detailed"
a explorer in neon city,"(explorer:1.25) in neon city, Impressionist style, dramatic shadows, majestic scale, hyper detailed, soft bokeh"
a cat in frozen tundra,"(cat:1.25) in frozen tundra, Photoreal style, octane render, unreal engine 5, majestic scale"
a dragon in floating island,"(dragon:1.25) in floating island, Anime style, muted tones, volumetric lighting, octane render, hyper detailed, sharp focus"
a forest spirit in space station,"(forest spirit:1.25) in space station, Anime style, soft bokeh, intricate textures, hyper detailed"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Cinematic style, muted tones, hyper detailed, 8k resolution"
a cat in desert oasis,"(cat:1.25) in desert oasis, Cyberpunk style, muted tones, 8k resolution, vibrant colors, unreal engine 5"
a demon in neon city,"(demon:1.25) in neon city, Minimalist style, masterpiece quality, intricate textures, unreal engine 5, hyper detailed, ethereal atmosphere"
a cat in floating island,"(cat:1.25) in floating island, Impressionist style, ethereal atmosphere, volumetric lighting, dramatic shadows, octane render"
a robot in ancient ruins,"(robot:1.25) in ancient ruins, Cyberpunk style, octane render, unreal engine 5, volumetric lighting, 8k resolution"
a cyberpunk girl in neon city,"(cyberpunk girl:1.25) in neon city, Renaissance style, hyper detailed, masterpiece quality, muted tones, volumetric lighting, ethereal atmosphere"
a cat in floating island,"(cat:1.25) in floating island, Photoreal style, majestic scale, dramatic shadows, sharp focus, ethereal atmosphere"
a samurai in mountain temple,"(samurai:1.25) in mountain temple, Cinematic style, ethereal atmosphere, soft bokeh, muted tones, sharp focus, majestic scale"
a samurai in mountain temple,"(samurai:1.25) in mountain temple, Impressionist style, hyper detailed, intricate textures, majestic scale"
a astronaut in mars base,"(astronaut:1.25) in mars base, Photoreal style, masterpiece quality, intricate textures, majestic scale"
a demon in cybernetic lab,"(demon:1.25) in cybernetic lab, Anime style, vibrant colors, unreal engine 5, hyper detailed, dramatic shadows, 8k resolution"
a warrior in mountain temple,"(warrior:1.25) in mountain temple, Cinematic style, volumetric lighting, vibrant colors, majestic scale"
a monk in volcano,"(monk:1.25) in volcano, Steampunk style, sharp focus, dramatic shadows, masterpiece quality"
a scientist in frozen tundra,"(scientist:1.25) in frozen tundra, Dark Fantasy style, 8k resolution, intricate textures, vibrant colors, octane render"
a goddess in deep forest,"(goddess:1.25) in deep forest, Minimalist style, intricate textures, dramatic shadows, ray traced"
a mechanic in floating island,"(mechanic:1.25) in floating island, Vaporwave style, sharp focus, ethereal atmosphere, masterpiece quality, volumetric lighting"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Photoreal style, hyper detailed, muted tones, octane render"
a samurai in mars base,"(samurai:1.25) in mars base, Steampunk style, masterpiece quality, majestic scale, volumetric lighting, dramatic shadows, 8k resolution"
a demon in desert oasis,"(demon:1.25) in desert oasis, Photoreal style, majestic scale, muted tones, intricate textures, volumetric lighting"
a mechanic in volcano,"(mechanic:1.25) in volcano, Photoreal style, masterpiece quality, octane render, hyper detailed, unreal engine 5, dramatic shadows"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Anime style, sharp focus, vibrant colors, dramatic shadows, 8k resolution"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Vaporwave style, volumetric lighting, vibrant colors, sharp focus"
a cat in neon city,"(cat:1.25) in neon city, Minimalist style, muted tones, hyper detailed, ray traced, soft bokeh, volumetric lighting"
a dragon in stellar nebula,"(dragon:1.25) in stellar nebula, Cyberpunk style, hyper detailed, unreal engine 5, muted tones"
a forest spirit in volcano,"(forest spirit:1.25) in volcano, Vaporwave style, masterpiece quality, muted tones, unreal engine 5, majestic scale, dramatic shadows"
a cyberpunk girl in frozen tundra,"(cyberpunk girl:1.25) in frozen tundra, Dark Fantasy style, unreal engine 5, majestic scale, ray traced, intricate textures, soft bokeh"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Renaissance style, 8k resolution, intricate textures, sharp focus, soft bokeh"
a warrior in mountain temple,"(warrior:1.25) in mountain temple, Impressionist style, sharp focus, majestic scale, vibrant colors"
a cyberpunk girl in medieval village,"(cyberpunk girl:1.25) in medieval village, Steampunk style, dramatic shadows, ethereal atmosphere, hyper detailed"
a angel in cybernetic lab,"(angel:1.25) in cybernetic lab, Vaporwave style, sharp focus, unreal engine 5, ray traced, soft bokeh, masterpiece quality"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Cyberpunk style, ethereal atmosphere, volumetric lighting, muted tones, dramatic shadows, hyper detailed"
a mechanic in stellar nebula,"(mechanic:1.25) in stellar nebula, Impressionist style, majestic scale, dramatic shadows, ethereal atmosphere, sharp focus"
a explorer in ancient ruins,"(explorer:1.25) in ancient ruins, Minimalist style, 8k resolution, intricate textures, hyper detailed"
a knight in desert oasis,"(knight:1.25) in desert oasis, Cinematic style, ethereal atmosphere, sharp focus, vibrant colors, 8k resolution"
a forest spirit in neon city,"(forest spirit:1.25) in neon city, Anime style, 8k resolution, ethereal atmosphere, majestic scale, hyper detailed, octane render"
a samurai in space station,"(samurai:1.25) in space station, Cinematic style, majestic scale, soft bokeh, octane render"
a nomad in underwater city,"(nomad:1.25) in underwater city, Minimalist style, muted tones, vibrant colors, unreal engine 5, dramatic shadows"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Vaporwave style, sharp focus, ethereal atmosphere, muted tones"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Photoreal style, muted tones, hyper detailed, soft bokeh, masterpiece quality"
a goddess in underwater city,"(goddess:1.25) in underwater city, Steampunk style, 8k resolution, octane render, vibrant colors"
a goddess in deep forest,"(goddess:1.25) in deep forest, Minimalist style, dramatic shadows, soft bokeh, unreal engine 5, hyper detailed, ray traced"
a warrior in neon city,"(warrior:1.25) in neon city, Renaissance style, 8k resolution, unreal engine 5, vibrant colors, hyper detailed"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Anime style, ethereal atmosphere, hyper detailed, dramatic shadows, volumetric lighting"
a demon in stellar nebula,"(demon:1.25) in stellar nebula, Steampunk style, octane render, soft bokeh, ray traced, vibrant colors"
a demon in medieval village,"(demon:1.25) in medieval village, Dark Fantasy style, intricate textures, soft bokeh, vibrant colors"
a cyberpunk girl in floating island,"(cyberpunk girl:1.25) in floating island, Cyberpunk style, dramatic shadows, octane render, unreal engine 5, masterpiece quality"
a warrior in deep forest,"(warrior:1.25) in deep forest, Cyberpunk style, ethereal atmosphere, masterpiece quality, vibrant colors, ray traced, intricate textures"
a old man in volcano,"(old man:1.25) in volcano, Steampunk style, vibrant colors, soft bokeh, 8k resolution, ethereal atmosphere"
a dragon in space station,"(dragon:1.25) in space station, Steampunk style, majestic scale, octane render, ethereal atmosphere"
a mechanic in floating island,"(mechanic:1.25) in floating island, Impressionist style, soft bokeh, majestic scale, 8k resolution"
a mechanic in dreamscape,"(mechanic:1.25) in dreamscape, Steampunk style, 8k resolution, unreal engine 5, muted tones, majestic scale"
a cat in deep forest,"(cat:1.25) in deep forest, Renaissance style, ethereal atmosphere, ray traced, soft bokeh, dramatic shadows, vibrant colors"
a astronaut in floating island,"(astronaut:1.25) in floating island, Photoreal style, 8k resolution, vibrant colors, unreal engine 5, ray traced, volumetric lighting"
a cyberpunk girl in ancient ruins,"(cyberpunk girl:1.25) in ancient ruins, Photoreal style, ray traced, majestic scale, dramatic shadows"
a mechanic in desert oasis,"(mechanic:1.25) in desert oasis, Impressionist style, sharp focus, octane render, unreal engine 5, volumetric lighting"
a knight in neon city,"(knight:1.25) in neon city, Impressionist style, vibrant colors, 8k resolution, soft bokeh, ray traced, masterpiece quality"
a old man in space station,"(old man:1.25) in space station, Cyberpunk style, volumetric lighting, sharp focus, hyper detailed, majestic scale, masterpiece quality"
a wizard in mars base,"(wizard:1.25) in mars base, Renaissance style, octane render, masterpiece quality, 8k resolution"
a cat in deep forest,"(cat:1.25) in deep forest, Anime style, octane render, sharp focus, muted tones, hyper detailed, dramatic shadows"
